speaker,text,emotion,empathy_score,active_listening_score,clear_communication_score,patience_score,source,condition
caregiver,"Hello Margaret, how are you feeling today?",neutral,3,3,4,4,conversation_text,dementia
elder,"I'm doing okay, thank you for asking. Sometimes I get a bit confused though.",neutral,4,4,3,4,conversation_text,dementia
caregiver,I understand that must be difficult for you. Can you tell me more about what confuses you?,empathy,4,4,4,4,conversation_text,mobility
elder,"Well, I sometimes forget where I put things, and I get worried about my family.",worried,4,4,3,4,conversation_text,dementia
caregiver,That sounds really challenging. I'm here to help you with that.,empathy,4,3,4,4,conversation_text,general
elder,"Thank you, that means a lot to me. You're very kind.",grateful,4,4,3,4,conversation_text,general
caregiver,Have you taken your medication today?,neutral,2,2,3,3,conversation_text,dementia
elder,"I think so, but I'm not sure. I get confused about the timing.",confused,3,3,2,3,conversation_text,dementia
caregiver,Let me help you check. Can you show me your pill organizer?,helpful,3,3,4,4,conversation_text,general
elder,"Oh yes, here it is. I think I took the morning ones.",neutral,3,3,3,3,conversation_text,general
caregiver,Great! I can see you did take them. You're doing well.,encouraging,4,3,4,4,conversation_text,general
elder,Thank you for helping me remember. I feel better when someone helps me.,grateful,4,4,3,4,conversation_text,dementia
caregiver,I'm here to support you. Is there anything else you'd like to talk about?,supportive,4,4,4,4,conversation_text,general
elder,I'm worried about my daughter. I haven't heard from her in a while.,worried,3,4,3,4,conversation_text,general
caregiver,I understand your concern. Would you like me to help you call her?,helpful,4,4,4,4,conversation_text,mobility
elder,That would be wonderful! I miss her so much.,happy,4,4,3,4,conversation_text,general
caregiver,Let's take your time and call her together. There's no rush.,patient,4,4,4,4,conversation_text,general
elder,You're so patient with me. I really appreciate that.,grateful,4,4,3,4,conversation_text,general
caregiver,It's my pleasure to help you. You're doing great.,encouraging,4,3,4,4,conversation_text,general
elder,Thank you. You make me feel safe and cared for.,grateful,4,4,3,4,conversation_text,general
caregiver,That's exactly what I want for you. You deserve to feel safe and cared for.,empathy,4,4,4,4,conversation_text,general
elder,You're such a kind person. I'm lucky to have you helping me.,grateful,4,4,3,4,conversation_text,general
elder,"I'm doing okay, thank you for asking.",neutral,3,3,3,3,conversation_audio,general
elder,Sometimes I feel confused about things.,sad,3,3,3,3,conversation_audio,dementia
elder,I appreciate your help and patience.,sad,3,3,3,3,conversation_audio,general
elder,That makes me feel better.,neutral,3,3,3,3,conversation_audio,general
elder,I'm worried about my family.,neutral,3,3,3,3,conversation_audio,general
caregiver,How are you feeling today?,neutral,3,3,3,3,conversation_audio,general
caregiver,Can you tell me about your concerns?,sad,3,3,3,3,conversation_audio,general
caregiver,I'm here to help you with that.,neutral,3,3,3,3,conversation_audio,general
caregiver,Let's work through this together.,neutral,3,3,3,3,conversation_audio,general
caregiver,You're doing really well.,neutral,3,3,3,3,conversation_audio,general
caregiver,"hi, how are you doing?",neutral,2,3,4,3,dialogs_txt,general
elder,i'm fine. how about yourself?,neutral,3,3,3,3,dialogs_txt,general
elder,i'm pretty good. thanks for asking.,grateful,3,3,3,3,dialogs_txt,general
elder,no problem. so how have you been?,neutral,3,3,3,3,dialogs_txt,general
elder,i've been great. what about you?,happy,3,3,3,3,dialogs_txt,general
elder,i've been good. i'm in school right now.,happy,3,3,3,3,dialogs_txt,general
